" |text выброс загрязнять вещество промышленный производство"
" |text премитя мена возможно дышать стать тепло должный дышать"
" |text улица ужасно сильный вонь вонять углеводород ночь думать экологический служба стоить обратить внимание конец принять либо мера дышать вообще возможно"
" |text день химический запах мкрн район новое эссена близлежащий район похожий запах дистиллировать вода едкий"
" |text приятный запах воздух возможно дышать открыть окно сегодня день"
" |text каждый проезжать сосновый бора трасса метр сильный неприятный зара проникать салон автомобиль проехать весь трасса метр москва уфа запах принять мера пожалеть житель поселок"
" |text закачка цемент вагон крыша элеватор вентиляционный отверстие происходить выброс цементный пыль пыль распространяться большой площадь просить разобраться"
" |text ул аделить кутуй далее располагаться завод железобетонный изделие название казанский дск последний время территория данный предприятие лететь просто огромный количество цементный пыль дышать возможно видео https недоверие сомнение yadi sk zeuj gwje rhwq"
" |text день сарманово стоить невыносимый вонь куриный навоз сколько год терпеть принять мера пожалуйста"
" |text вечер невозможно проветрить квартира город невыносимый вонь запах противный вплоть рвотное рефлекс решиться проблема отписываться забор воздух норма откуда вонь"
" |text каждый вечер ужасный запах обращиться путин"
" |text вонь стоить каждый день гость приезжать говорят вонять окно открыть мочь вонь домой заходить сколько каждый год это писать приезжать брать проба говорят весь норма норма приезжать вонять это нормальный"
" |text неделя невозможно пахнуть улица особенно вечером"
" |text каждый день идти неприятный запах очистный сооружение возможно открыть окно"
" |text принять мера жить невозможно открывать окно пахнуть оргсинтез травить человек принять мера"
" |text каждый вечер ночью ом близлежащий микрорайон химический запах"
" |text протяжение неделя утро ежедневно район пахнуть сероводород просить разобраться"
" |text улица пушкин вечер возможно открыть окно запах сероводород канализация"
" |text жила район около комсомольский парк воздух большой концентрация запах сероводород тухлый яйцо вечерний ночное время трудно дышать страдать ребенок взрослый стравливать городской воздух ужас устранить пожалуйста вонь неделя стоить фон"
" |text вечер ночью появляться странный запах очистный химкомбинат вахитов днем специально темный время сутки сбрасывать"
" |text производство находиться возвышенность возле поселок кутла букаша поселок расположить низина безветренный погода дым стлаться поселок житель вынудить дышать дым фотография возвышенность дым возле улица вахитов"
" |text близкий вечер город запах вонючий похожий запах сероводород окно открыть возможно просить разобраться это это каждый день"
" |text жила район улица нефтяник воздух большой концентрация запах сероводород тухлый яйцо вечерний ночное время трудно дышать страдать ребенок взрослый стравливать городской воздух ужас стабильно вечерний время утро пахнуть улица сильный запах"
" |text ужасный запах очистный сооружение отар разноситься весь поселок мирный ветер сторона отар весь невозможно дышать становиться явно должный необходимый принять мера поселок близкий отар еще худой запах человек дышать"
" |text мамадышский р пос пятилетка производить обработка полый пестицид расстояние около километр населить пункт связь это погибать пчела пасека страдать житель населить пункт закон обработка полый должный производить расстояние менее километр"
" |text время ветер западный принести оргсинтез вонь тэцевский проезжать около оргсинтез вечером вонь"
" |text сколько это продолжаться прошлое год подаваться заявка улица духота дышать нечего еще весь город пахнуть вонять навоз окно невозможно открыть улица выйти белье балкон пропахнуть жить ферма принять мера"
" |text неприятный запах канализация ул циолковский ул полющенков"
" |text год подряд летом травить город вонять нечего дышать невозможно открыть окно вечером ночью это ужас житель заключение это действительно это ничто город меняться"
" |text последний время ежедневно часы вечер улица идти сильный запах канализация сероводород это заметить весь знакомый сослуживец просить дать пояснение это повод это выброс откуда исходить грозить население"
" |text невыносимый запах канализация нечистоты весь новый город дом жарко возможно открыть окно проверить запах практически едедневный"
" |text ул аделить кутуй далее располагаться завод железобетонный изделие название казанский дск вчера очередной осуществить продув система подача цемент"
" |text организация дать адрес расположить менее метр жилой дом весь зима сегодня год хоз блок опапливать топливо неизвестный содержание печный труба валита темный едкий дым возможно дышать щипать глаз дым запах жечь резина пластмасса"
" |text поселок победа бугульминский район несколько год экономить утилизация отход свиноферма сливать недалеко жилой дом весь лето житель поселок задыхаться запах помочь вернуть чистый воздух"
" |text здравствовать просить решить проблема зловонный запах канализация сероводород сторона очистный сооружение расположить ул полигон год бугульма который распространяться примерно малый бугульма сторона ул светлый ночью невозможно дышать"
" |text вырубаться лес строительство офис город свободный пространство строительство старое застройка выселить дом сноситься"
" |text убедительно просить проверить соблюдение требование экологический законодательство обеспечение экологический безопасность область охрана атмосферный воздух отношение птицеферма ип хан дер калинино тукаевский район это действительно невыносимый ужасный вонь"
" |text деревня пиголь тарлаша посадка молодая сосна большой площадь посадка весь сосна повырубать законно это"
" |text возможно выйти улица жить газовый камера район мельничный пмк автовокзал задыхаться вонь завод"
" |text периодический выброс ужасный запах биологический очистный сооружение необходимый провести проверка соблюдение требование норматив очистный сооружение"
" |text вонизм возможно дышать утром вечером ночью это кончиться"
" |text ряд детский сад вестись строительство заколачивать свая отчего округа число территория детсад стоить задымление резкий запах отработать топливо это очень вредный здоровье ребенок пожалуйста принять мера"
" |text тяжело дышать запах гарь пластмасса смокнуть город фото передавать"
" |text регулярно вечером появляться химический запах"
" |text резкий химический запах район микрорайон вечер год ранее беспокоить многолетний тошнотворный запах органический отход завод сария присоединиться травить это закончиться"
" |text р ул советск энтуз протяжение нед ль стоить неприятн запах силос куриный помета комбикорм запах напоминать запах птицефабра особенно сильный сброс идти ночь разноситься ветер заходить квартира верхний этаж также отмеч ся район ост интерн"
" |text здравствовать год ехать автобус следовать село афанасовый сторона пост дпс автобус идти едкий черный дым"
" |text ежедневно вечерний время сильный вонь птицефабрика особенно сильно выходной день находиться улица возможно окно дом отрыть"
" |text периодически ночь ул сайдашева стоить очень сильный запах сероводород невозможно спать открытый окно сильный запах проникать квартира пробуждать сон последний выброс просить принять мера устранение причина"
" |text гореть полигон тбо продукт горение запеленесть небо аксубаево"
" |text полгорода задыхаться мерзот запах канализация который район крутой гора добраться район дом медик поселок часовой завод улица невозможно дышать квартира стоить стойкий запах фекальный масса человек жаловаться месяц головной"
" |text день август воздух присутствовать запах фенол территория прилегать территория пао оргсинтез это улица химический далее дышать невозможно резать глаз першить горло"
" |text сильный выброс цементный пыль завод блокмастер суббота"
" |text район это попахивать хлор химический запах сегодня утром просто адски вонять выйти утром гулять собака продержаться пять минута глаз резать кашель происходить трявить человек"
" |text южный юго восточный ветер приходить отвратительный запах тяжело дышать видимо травить гк нэфис необходимый это пресечь настаивать"
" |text стоить раздуваться сильный удушливый запах непонятно похожий приторный запах алкидный эмаль некий лекарство фенол запах обнаружить слабоветренный безветренный погода дождевой погода жара летом зимой снегопад запах растаскивать километр"
" |text вонь начаться северный далее вокзал далее ул копылов весь улица тэцевскай провонять едкий запах непонятно запах резкий раздражать знакомый говорить вонять лекарство старый алкидный краска фенол формальдегид раздувать запах сторона ул химическ"
" |text леса валить крупный сосна зеленый бора ряд казань"
" |text периодический едкий запах хим производство иной невозможно дышать"
" |text второе сутки устойчивый запах канализация свалка отход запах начинаться свалка самосыровый трасса метр москва самый чебакс срочно принять мера возможно дышать"
" |text деревня пимери юнусовый возможно дышать слеза течь горький запах кислород вообще практически першить горло приступ кашель головной боль жить ак барс выкупить весь близлежащий поль выбрасывать прямо туда весь птичий помета ребенок пожалеть бизнесмен"
" |text сжигать проводка постоянно днем ночью"
" |text сегодня утро весь день запах гнить мусор сероводород весь район ул ноксинский спуск плата вознесение месяц ранний просьба разобраться это воздух дышать наш ребенок"
" |text примерно сентябрь чувствоваться удушливый запах гарь невозможно дышать начинать тошнить вечер приходиться закрывать окно весь ночь явно делать выброс запах появляться время утро исчезать это геноцид"
" |text ряд жила дом ул восстание самый дом дышать стать затруднительно ребенок дышать мочь реакция сопля воздух гуталин формальдегид дышать трудно просить найти источник принять экстренный мера устранение бедствие дубль письмо президент"
" |text год плата высокий гора инеш летом осень вонять куриный помет неоднократно писать обращение ответ отписка пкд превысить пример id отвечать также требовать дать разъяснение источник запах ответственный лицо запах"
" |text очень сильный запах улица пахнуть химический отход"
" |text каждый утро облачность вооруженный глаз набережная челны наблюдать ощущать выброс нкнх год нижнекамск особенно последний время это принять систематический непрерывный угрожать характер толь еще дальнейший"
" |text химический облако регулярно отправлять нижнекамск набережная челны это дышать наш ребенок весь удивляться почему весь больной смотреть надзор экология вообще допускать"
" |text адрес казань поселок вознесенский ул год победа продолжительный время каждый день невозможно дышать улица невыносимый запах воздух просить экологический лаборатория выехать взять проба воздух строго строго улица год победа"
" |text сегодня год примерно район пересечение улица химик проспект строитель отчетливо ощущаться химический запах воздух"
" |text около часы вечер дать адрес бетонный завод начать выброс бетон улица невозможно находиться лицо волос одежда весь покрыть слой бетон"
" |text частное сектор улица архангельский невозможно открыть окно едкий запах гарь исходящий территория бывший фабрика улица кожевенный арендатор отапливать помещение неизвестно труба валита черный дым житель задыхаться дом улица"
" |text огород деревня находиться нефтяной скважина метр каждый суббота нефтяник производить стравливание время это невозможно выйти двор статистика половина население наш деревня умирать рак просить принять мера обращаться неоднократно продолжать нарушать"
" |text повторный обращение предыдущий никакой реакция https недоверие сомнение uslugi tatarstan ru open gov detail наступление холод труба данный объект периодически валита черный дым резкий запах земля автомобиль крыша выпадать сажа хлопья принять мера"
" |text житель дом ул шуравина возмутить сильный вонь птицефабрика гудакен который расположить ряд забор жить хлев окно открыть улица выйти невозможно дышать нечего просить взять проба воздух анализ"
" |text ветер сторона район пол чудо су сильный запах химический вещество сторона асфальтный завод убедительный просьба устранить"
" |text протяжение лето сей пора жечь черный дым идти труба фото указать стрелка вонь очень противный едкий запах стоить двор квартира провести проверка надоесть принять мера отчет пожалуйста приложить письменный вид"
" |text шиномонтаж который недавно открыться жечь мусор невозможно открыть окно пахнуть жженый резина першить горло мало труба зимой черный дым валита улица мусор сжигать переехать близкий леса воздух чистый свалка это небезопасно"
" |text протяжение долгий время периодичность особенно утро улица ужасный запах газа квартира ночь дышать нечего дом газа это кошмар принять мера задыхаться"
" |text каждый второе третье гараж гореть печка буржуйка смотреть пожарный инспекция"
" |text ежедневно пахнуть сероводород особенно сильный запах стоить ночь часть село место далеко расположить качалка неоднократный жалоба результат нулевой"
" |text здравствовать птицефабрика очередной начало вывозить птичий помета поль пятистый метр габишево двухст метр озеро моховой который являться памятник природа законно это это скорее ответить прокуратура"
" |text большой задымление воздух загрязнить часто происходить адрес объект объездной"
" |text пересечение улица грин гвардейский несколько неделя разрыть заботливо закрытый синить забор канализационный труба нея круглосуточно валита зловонный пара дышать сидоровка весь трудный трудный"
" |text парка победа невозможно сильный вонь озеро сливаться пахнуть канализация либо сероводород весь территория парк разноситься запах"
" |text просить срочно принять мера допущение загрязнение окружающий среда воздух подземный вод озеро моховой свежий куриный помет который вывозиться поль близ габишево декабрь год житель габишево нечего дышать стоить невыносимый вонь срочно принять мера"
" |text реконструкция азс жилец дом обещать чистый воздух слив топливо бензовоз последний время сильно пахнуть присутствовать запах мочь сломаться оборудование перестать соблюдать юа ребенок играть ходить мама коляска вообще человек"
" |text около март год район ул лукин павлов ощущаться неприятный химический запах похожий горелый пластик вероятный ночное выброс хим производство проверить дать пдк определить причина неприятный запах"
" |text дымоход идти неприятный запах тяжело дышать открытый окно квартира весь вещий напитываться запах название организация неизвестно"
" |text невыносимый едкий запах жженый резина химия год комплекс вдыхать возможно"
" |text ранее писать заявка бетонный завод загрязнять воздух выброс сегодня город ввести карантин похоже данный завод закон писанный весь улица бетонный пыль фото х день"
" |text несколько день подряд жечь масштабно изолированный дышать нечего задыхаться гарь весь округа стоить окно открыть невозможно предотвратить беспредел хотеть дышать свежий воздух"
" |text добрый день каждый ночь сторона самосыровский свалка новое полигон тбо доноситься резкий запах гарь продукт разложение окно открыть дышать нечего причем это происходить ночью возможно несанкционировать сжигать просьба проверить"
" |text поселок отар апрель невозможно находиться улица ужасно пахнуть фекалия это либо выброс очистный сооружение улица магистральный либо делать иловый поле который расположить поблизости поселок просьба принять мера дышать возможно"
