" |text большинство квартира наш дом бегать муравей чайник вода пища гигиена пожный говорить"
" |text здравствовать нашествие крыса повсюду особенно тревожить крыса гулять детский площадка ничто бояться сидеть дверь входной группа отрава отрава мереть голубь помочь пожалуйста"
" |text двор дом парковка ресторан дом укус бегать большой количество огромный крыса насчитать штука намного большой"
" |text снова послать муравей очень мелкий желтый муравьев идти кухня либо канализация либо вентиляция"
" |text сотня таракан жить благоприятный условие который создавать человек вываливать куча остаток пища площадка люк наступление темнота площадка люк вылезать сотня таракан ужас"
" |text дом ул р зорг бегать таракан длина сантиметр подъезд подойти нога жужжать год это наблюдаться жить этаж балкон находить таракан квартира ребенок это кошмар жкх действие"
" |text улица возле мусорка теплотрасса развестись очень таракан исключить залезть дом просить срочно потравить таракан дом улица"
" |text вентиляция ванна лезть мелкий рыжий муравей обращаться далее никакой мера предпринять место обращение год нижнекамск ул мир"
" |text еще апрель месяц наблюдаться большой количество мышей леса дать парка гулять семья число ребенок сей пора провести дезинфекция леса минута прогулка горкинско ометьевский леса мимо пробежать большой мышка это безобразие просьба решить проблема"
" |text подвал канал вентиляция большой количество лететь комар прийтись заклеивать скотч вентиляция фумигатор спасать целый рой лезть просить избавить дом комаров"
" |text дом ул амирхан обитать крыса"
" |text весь квартира ползать мелкий муравей травить появляться вновь просить провести дезинсекция дом"
" |text вентиляция ванная комната также кухня лезть мелкий рыжий муравей обращаться никакой мера предпринять"
" |text территория детский площадка бегать полчище мышей"
" |text улица хлебозаводский дом второе подъезд видеть крыса обратиться должный это следить чистота подъезд поддерживать ряд стоить расселить дом который превратиться свалка предприятие который находиться ряд"
" |text жить год весь год война муравей везде кухня ванна туалет портить продукт квартира грудной ребенок жить лезть вентиляция везде разносить зараза инфекция уютный дом решать проблема квартплата платить исправно мало"
" |text наступление темный время сутки выходить таракан найти вдоль дом лезть наверно подвал фото передавать количество насекомое мало"
" |text детский неврологический санаторий ул чишмяло город казань бегать огромный крыса санэпидемстанция хотеть предпринимать никакой мера указанный район детсад школа детский площадка просить принять мера уничтожение опасный грызунов"
" |text здание котельная северный сторона напротив детский сад появиться множество таракан видимо обитать здание помещение питаться крошка человек подкармливать голубеть"
" |text дом фучик ночь увидеть сотня больший черный канализационный таракан который выбегать подвал порой бояться проникать домой это просто ужасно"
" |text метр подъезд дом химик начать появляться мышь также обнаружить квартира обращаться служба отчитаться обработка подъезд таракан эффект обработка никакой мочь вообще ничто обрабатывать принять мера"
" |text таракан весь дом подъезд квартира подвал"
" |text двор дом декабрист тверская возле территория детский площадка около подъезд очень больший таракан невозможно ходить принять пожалуйста мера устранение дать проблема"
" |text крыса двор возле контейнер земля изрыть крысиный ход повсюду просьба провести работа очистка двор крыса"
" |text ряд дом ул побежимов напротив сбербанк расположить люк который выползать темный время сутки огромный количество таракан который последствие еще заползать квартира этаж необходимый поверить санитарный состояние подвал ближний магазин"
" |text курчатов подъезд квартира бегать большой черный таракан председатель управлять компания бездействовать объяснять несколько квартира вызывать обработка стать"
" |text жить метр этаж месяц назад подвал завестись блоха дать заявка жек сказать поморить блоха пропасть появиться прошлое год блоха квартира продавать это жек вообще работать"
" |text улица подъезд адрес дементьев таракан шахта залезать квартира никакой действие устранение таракан"
" |text мышь бегать кварир отрава помогать весь съедать весь пооный дом мышей спасти"
" |text каждый месяц плач дератизация весь житель двор уходить деньга весь подъезд муравей мусорка вообще ада твориться невозможно подойти крыса нога бегать ряд мочь ребенок гулять"
" |text ежемесячно платить дератизация однако крыса бегать весь дом требовать принять мера требовать взять контроль периодически уничтожать травить крыса подъзд адрес ул юлиус фучик далее"
" |text подьезда номер жилой дом ул ямашева снова появиться рыжий муравей житель подъезд убедительно просить провести дизиныекция подвал воздушный шахта наш подвал нормальный состояние вечный неприятный запах подъезд крыса жить дом"
" |text квартира периодически появляться муравей лезть вентиляция просить произвести дезинсекционный обработка место общий пользование жилой дом подъезд подвал чердачный помещение далее квартира жилец обработка произвести самостоятельно"
" |text улица ленин далее второе третье этаж поселиться пчела окно балкон возможно открыть нападать этаж находиться подростковый клуб ракета напасть ребенок принять мера устранить пчела"
" |text крыса мышь мусорный площадка непосредственный близость жилой дом"
" |text обращаться жэк неделя просьба обработать подвал блоха кормить обещание большинство домашний животное дом соседний подъезд искусать приносить блоха домой человек квартира кусать принять пожалуйста мера жить очень некомфортно"
" |text протяжение несколько год вентиляция стояковый выползать жук таракан размер сантиметр неоднократный обращение ук речник результат приносить просить избавить насекомое"
" |text весь жилец дом мучиться тепа дом стать появляться муравей избавиться нужно провести дервтизация подвал"
" |text проспект тукать дом крыса подвал выйти улица просить принять мера"
" |text просить решить проблема крыса заявка писать нужный компетентный специалист иначе это проблема годами время перерасти игнорировать просто возможно поэтому проблема серьезный нужный постоянный мониторинг дать проблема"
" |text переехать квартира жить месяц таракан появляться сосед говорят таракан подвал вонь ужасный подъезд принять пожалуйста мера"
" |text комната мать дитя второе этаж таракан"
" |text большой количество муравьев адрес юлиус фучик многий квартира также аптека первое этаж наш квартира поступать вентиляционный труба кухня"
" |text проблема крыса двор решаться центр город двор зоопарк бегать жирный здоровый ничто бояться зато ребенок бояться ходить вечером реально страшно возвращаться домой"
" |text сделать пожалуйста обработка подвал подвальный таракан дом начать появляться"
" |text парковкочный территория перекресток мир беляев увд заметить крыса необходимый дератизация"
" |text капитальный ремонт дать дом серов появиться муравей просьба принять мера"
" |text неоднократно заметить крыса мышь вокруг дом ф амирхан особенно темный время сутки двор сторона улица необходимый сан обработка подвал"
" |text детский комната кормление торговый центр южный обнаружить рыжий таракан"
" |text метр подъезд метр этаж снимать квартира очень нечистоплотный человек квартира далекий санитарный норма мор таракан который пробираться остальной квартира вентиляция подъезд зарплата потратить травить таракан это бесполезный прибегать снова"
" |text крыса крыса крыса прежний множество нора вокруг контейнер вечером крыса массово бегать двор"
" |text второе подьезда дом невыносимый вонь мышей мышь свободно никто бояться днем ночью бегать подьезда особенно первое этаж первое этаж лестница слышный писк мышей ощущение оочень решить проблема"
" |text открыть суши бар кавать постоянно проблема мышь завести кошка муравей ванна кухня просить провести проверка санитарный норма суши бар кавать провести дезинфекция дом"
" |text насикома жить"
" |text год наш дом открыть магазин пятерочка потехонька стать появляться таракан наплодиться столько днем бегать весь квартира шкафчик кухня открыть таракан ночью просыпаться ползать таракан просить помочь"
" |text добрый день адрес ул зоя космодемьянский дом также ул япеева дом кишеть огромный крыса никакой обработка вестись крыса лазить автомобиль свободно бегать двор портить имущество срочно необходимый принять мера спасибо"
" |text гимназия таракан заметить время дежурство ребенок столовый ситуация декабрь год время дежурство таракан меньший размер большой просьба сохранить анонимность цель предупреждение дискриминация ребенок"
" |text необходимый мера истребление мокрица многий квартира снаружи дом каждый день появляться паразит средство жильцов справиться реально просить принять мера"
" |text постоянно неоднократный обращение проблема решить крыса очень"
" |text крыса двор чувствовать дом полный антисанитария"
" |text нужно провести дезинфекция подъезд лифт коридор этаж"
" |text большой скопление клещ близ жила зона просьба провести обработка клещ лесной массив территория прилегать жила зона мера"
" |text дом муравей подвал обрабатывать сосед дом бегать"
" |text крыса огромный бегать днем помойка улица брат касимов дом помочь избавиться"
" |text территория вокруг салават купер зеленый зона детский площадка пол кипеть клещь"
