" |text необходимый устранить шакал избежание летальный исход"
" |text территория мбоу оош обитать агрессивный бродячий бездомный собака который набрасываться школьник воспитанник детский сад"
" |text просить произвести отлов бродячий бездомный собака мкр урсало именно улица драцкий тюнина сатаров"
" |text агрессивный собака возможно пройти спокойно несколько собака женский полый выводок щенок бегать лесополас улица собираться стая"
" |text стая бездомный собака нападать человек нападение ребенок взрослый участок дорога являться частью маршрут передвижение учащийся школа находиться адрес ул агрызкай дом место учеба обратно"
" |text детский площадка двор ул гагарин давно обосноваться стая бездомный собака нападать прохожий лаять ночь просьба принять мера"
" |text жк светлый долина вблизи школа бродить стая бездомный собака небезопасно житель учащийся школа"
" |text несколько крупный собака ошейник представлять опасность ребенок одинокий прохожий"
" |text здравствовать писать счет собака животное любить гулять здоровый собака двор страшно выходить ребенок улица знать ум заранее благодарить решить проблема собака вечером возле мусор сидеть"
" |text бездомный собака бросаться человек ряд детский сад собака перелезать забор детский сад"
" |text двор дом б ул белинский очень бездомный собака страшно гулять ребенок"
" |text район детский площадка дом обитать стая бездомный собака количество шт собака гулять детский площадка подходить очень близко ребенок представлять опасность здоровье жизнь ребенок случай нападение собака это район"
" |text последний число год наш двор завестись стая бродячий собака заходить подъезд вести агрессивно страшно выходить улица многочисленный обращение администрация город дать положительный результат просить принять мера спасти"
" |text ул кызыл армейский далее поселиться свора собака примерно шт бегать толпа очень агрессивно вести кидаться человек вырывать пакет рычать вцепиться шуба женщина оторвать клок ряд школа n гимназия n каток ребенок"
" |text огромный свора бездомный собака штука пугать ребенок идти школа обратно это приходиться водить сопровождение взрослый собака раса большой стая ничто бояться весь чаща огрызаться прохожий просить принять мера отловить"
" |text осень жаль многий собака выкидывать улица вынудить жить факт собака жить улица близкий дикий агрессивный животный домашний"
" |text стая собака возле мусорный контейнер грызуться разбрасывать мусор"
" |text здравствовать принять пожалуйста мера очень бездомный собака б территория школа"
" |text необходимый устранить опасный шакал"
" |text бездомный собака жить территория детский сад спать труба кидаться ребенок воспитатель бояться выходить прогулка ребенок"
" |text улица ягодинский приютиться стая бродячий собака который агрессивно настроить человек страшно проходить мимо это дом периодически перемещаться сторона поперечно базарный утром слышный лаять кидаться прохожий просьба принять мера"
" |text случай стая собака кусать бросаться прохожий двор ребенок бегать играть бросаться домашний собака время выгул время прогулка ребенок"
" |text ежегодно соседний дом человек приучать бездомный собака мусорка тупо подъезд кормить проход давать собираться стая собака просить принять мера"
" |text усад район улица медицинский бродить огромный кавказский овчарка пожалуйста хватить давать отписка мочь указать номер дом ходить это животный оно перемещаться правило район улица медицинский"
" |text усад бегать стая бездомный собака особый представлять опасность забегать территория школа фото"
" |text улица множество бездомный собака который пугать человек бросаться ребенок прыгать лаять"
" |text утром страшно ходить мебельный район садик бегать стая собака"
" |text сегодня обнаружить еще стая бродячий собака район парк культура отдых имя морозов улица красноармейский уважаемый представитель исполком очень большой просьба решить проблема это парка заниматься физкультура ребенок близлежащий школа допустить беда"
" |text бездомный собака количество штука пугать пытаться укусить весь периметр боевой товарный двор лагерный бездомный собака"
" |text улица очень бездомный собака бегать стая лаять ребенок бояться ходить школа невозможно спокойно играть двор кругом собака принять пожалуйста мера"
" |text бояться зайти подъезд ребенок мочь выйти очень бродячий собака наш район"
" |text добрый день который сутки простор интернет гулять фотография бездомный собака огромный количество комментарий житель город собака злой бросаться человек ребенок бояться отпускать школа страшно взрослый принять мера отчистка"
" |text бездомный собака бродить представлять угроза жизнь здоровье прохожий ряд детский сад"
" |text весь улица хлебозаводский бегать бездомный собака страшно ребенок отпускать улица"
" |text бегать стая собака около шт агресивный облаивать прохожий окружить давать пройти весь огромный"
" |text чистопольский район село красный ярый улица пришкольный бегать бродячий собака ребенок взрослый бояться ходить улица декабрь месяц большой собака давать проход бояться наш ребенок просить принять мера устранение бродячий бездомный собака"
" |text ноябрь год подать заявка собака бросаться человек ул год победа год поступить ответ собака отловить действительность собака отловить свободно ходить улица бросаться человек обратить пожалуйста внимание собака агрессивный"
" |text дом ул даурский далее район снт любитель жить стая девять бездомный собака постоянно лаять человек страшно ходить магазин пятерочка"
" |text стая собака продолжать бродить пос царицыно сегодня число стая бродячий собака гол заметить участок жилой дом номер ул ая владимирский стая нападать домашний животное затем уходить р нокса ранний заявка решить необходимый продолжить отлов"
" |text стая собака около дом культура"
" |text стая собака жить здание баня двор школа"
" |text шакал кидаться человек особо опасный необходимый устранить"
" |text постоянно ходить большой бездомный собака пересечение улица чишмале менделеев просить принять мера"
" |text свора собака бегать детский площадка также нападать человек агрессивность необходимый устранить"
" |text возвращаться вечером домой атаковать стая дворовый собака собака укусить нога оставить дырка брюки стая бегать район дом улица гвардейский здание б улица отрадный"
" |text поселок голубой озеро кадышевый бегать бездомный собака количество расти пешком невозможно пройти мимо животное вести агрессивно животное забегать территория садик кадышевый"
" |text стая собака бегать улица бросаться взрослый ребенок собака бросаться сын сын мочь дойти школа домой однократно звонить мерия бугульма мочь футболить весь бросать трубка выслушать мочь решить проблема"
" |text просить отловить стая бездомный собака"
" |text уважаемый администрация улица мирный возле дом постоянно собираться бездомный собака улица страшно выходить нападать принять пожалуйста мера"
" |text возле школа проблема стая бродячий собака"
" |text бездомный животный жить мкр урсало напротив дом ул полевой далее собака агрессивный неоднократно нападать человек день загрызть кошка жилец дом который прикормить собака замечание реагировать маленькая ребенок выйти улица прогуляться опасный"
" |text добрый вечер решиться вопрос собака бегать стая остановка бмз ул ленин ул крылов"
" |text добрый вечер решиться вопрос собака бегать стая остановка бмз"
" |text писать написать еще весь гулять собака"
" |text замучить собака ночью утром днем работа видеть собираться стая лаять выть носиться драться ночью невозможно спать просыпаться бояться ребенок школа страшно идти известно ум стая лайк боксер принять мера пожалуйста"
" |text добрый день наш двор завестись огромный собака который бегать весь двор стая страшно выть ребенок бояться выпускать двор помочь пожалуйста возможно пригреться наш двор забросить двухэтажка который находиться наш двор"
" |text покусать бездомный собака просьба орган заниматься проблема принять мера сложиться история смочь забрать сын садик муж взять административный отгул неоплачиваемый лечиться бешенство"
" |text стая собака вчера начало рабочий"
" |text территория детский сад постоянно гулять бездомный собака несколько нападать человек последний случай несколько минута назад свора собака напасть женщина ребенок напасть почему ничто предпринимать"
" |text жк ул ютазинский бродить стая бездомный собака очень небезопасно житель просить принять мера"
" |text поселок появиться большой количество бездомный собака щенок который начинать нападать житель фото собака находиться ул благодатный возле дом нужный срочный мера решение проблема"
" |text год наш улица яблоневый младший дочь кусать бездом собака делать укол бешенство зашивать рана старший дочь покусать стая собака р магазин сосновка выезд ул яблоневый ул машиностроитель просить срочно принять мера"
" |text улица поселок огромный стая собака везде камера житель фиксировать стая шт нападать человек"
" |text поселок мирный весь поселок полно бездомный бродячий собака принять мера"
" |text основной место дом поле ночью скопление мусорный площадка просить отлов пока нибыть житель пострадать"
" |text помочь пожалуйста решить проблема свора бродячий собака который обосноваться двор квартирный дом ул академик королева чаща обитать подъезд также часто заметить территория гимназия человек бояться выйти дом помочь"
" |text улица тухватуллин заводский продолжать разгуливать бездомный животное"
" |text прошлый выезд отловить собака большой молодец еще собака бегать двор"
" |text весь ночь окно лаять бездомный собака днем встречаться стая бездомный собака"
" |text собака который бегать улица наш город кусать наш ребенок сегодня утром февраль большой рыжий черный цвет собака укусить ребенок это произойти около сад колосок это повторяться год участковый вызывать обещать обратиться санпин"
" |text район нефтеавтоматика бегать стая бездомный собака возле дом воровской подьезд собака напугать лай ребенок неделя торопиться работа наброситься обращаться неоднократно отдел жкх доб регистрировать заявка это весь"
" |text улица алмачуар знатный бегать стая огромный бездомный собака улица ребенок просто бояться отпускать ребенок гулять страшно вечером возвращаться домой большой просьба разобраться пока случиться беда"
" |text ряд жилой дом обитать стая бродячий собака штука последний день собака нападать весь проходить мимо вариант обойти это единственный путь автобусный остановка лаять окружать давать пройти пытаться укусить бояться ребенок"
" |text вблизи дом улица чистопольский обнаружить стая бездомный псовый предположительно жить заброженна стройка соседство просьба решить вопрос"
" |text немедленно принять мера бродячий собака штука нападать человек"
" |text нужный отлов весь улица рынок универсам бегать собака"
" |text улица жемчужный бегать свора бездомный собака расположить вблизи карьер вследствие житель улица мочь спокойно передвигаться улица собака ведт агрессивно"
" |text свалка обитать размножаться бродячий собака потомство весь это ряд школа который ежедневно мимо ходить ребенок необходимый убрать избежание непоправимый инцидент"
" |text ул клубный здание дом открытый ворота выбежать стая агрессивный лающий собака еле успеть избежать укус требовать увезти спецприемник бездомный собака дать собака представлять опасность человек"
" |text территория дом адрес азат аббасов дом парк гулять стая собака опасный ребенок выходить гулять ряд детский площадка ребенок бегать играть разобраться пожалуйста"
" |text агрессивный собака заполонить двор сбиться стая растаскивать мусор весь двор постоянный лай отвратительный запах подъезд дом улица боев"
" |text бездомный собака старое горка возле дом далее двинский двинский собака"
" |text каждый утро территория детский сад бегать бродячий собака рыжий очень злой воспитатель бояться выводить ребенок прогулка"
" |text конечный остановка автобус ферма обитать крупный стая бродячий собака большой штука регулярно прибегать детский площадка дом жк соловьиный роща просьба поместить собака приют"
" |text двор дом ежедневно бегать стая бездомный собака детский площадка территория садик"
" |text пос мирный улица балканский ясный бездомный собака невозможно ходить лаять кусать сапог мама ребенок ходить школа очень переживать бояться принять мера пожалуйста"
" |text двор дом даурский даурский бездомный собака около особый нападать ребенок взрослый сегодить напугать ребенок ребенок половина день разговаривать срочно принять мера"
" |text угол дом агрызский находиться бездомный собака"
" |text поселок новый сосновка разгуливать стая бездомный собака который угрожать спокойствие безопасность житель"
" |text часто около мусорка дом горьковский шоссе горьковский шоссе гулять собака очень злой также мочь двор гулять также стадо обычно приходить горьковский шоссе павильон туда вниз завод данофлекс очень страшно пешком ходить собака многа"
" |text стая собака терроризировать житель поселок малое клык участок погрызть кура друг утка просить срочно отловить усыпить опасный животное назад возвращать"
" |text бездомный собака бродить возле муссорка дорога школа сколько кидаться ребенок благо ряд взрослый обращаться администрация говорят деньга выделять делать"
" |text принять мера кидаться человек очень жалоба"
" |text возле это дом обитать рыжий собака видно детский плащадка торец дом жить хозяйский собака цепь забор рыжий возле это дом бросаться мимо пройти стороной обходить бежать лаять рычать вчера бросаться просить принять мера"
" |text двор бродить стая собака штука очень агрессивный нападать люля еле отбить бабушка сегодня ряд садик школа бояться отводить ребенок учебный заведение принять мера пожалуйста плата писать приехать найти спасибо"
" |text напасть собака ранее собака расцарапать машина сосед собака жить гаражный комплекс дом восстание сосед случай обращаться сюда место выехать собака обнаружить абсурд течение день бегать"
" |text ряд сбербанк зона самообслуживание постоянно ходить ночевать собака просьба отловить жалоба клиент"
" |text убедительный просьба решить проблема бродячий собака штука большой маленькая обитать возле огромный междворовый мусорка голодный злой гоняться ребенок прыгать человек невозможно страх вынести мусор"
" |text дом страшно выйти ходить ребенок улица гулять бездомный песпризорный собака создавать угроза житель поселок пешком дом добраться просить принять мера"
" |text возле депо стая агрессивный собака"
" |text бездомный щенок жить возле медресе центр скоро вырасти стать огромный собака который опасный общество полюбоваться собака загрызть кошка ряд идти девочка"
" |text улица яснополянский переулок пешеходный дорога ходить агрессивный собака лаять прохожий кидаться машина"
" |text улица кулахметов сторона улица лазарев пришлый стая бездомный собака голодный агрессивный район горьковский шоссе давно бегать стая бросаться человек"
" |text договор отлов бродячий собака заключить организация самара бродячий собака сбиваться куча десять особый бегать аксубаев бегать сей пора"
" |text перекресток переть химик ул сирин бегать свора бездомный собака небольшой горка играть ребенок"
" |text стая собака мусорка"
" |text очень бродячий собака просить принять мера ряд школа ребенок бояться идти школа"
" |text проживать пос званк пестречинский р проблема бродить бездомный собака мало агрессивный обитать основное возле мусорный ящик который расположенный возле дорога мера приниматься"
" |text год нурлат бегать собака дочь год ходить город е школа аграрный техникум находиться кабинет муза школа неоднократно приставать собака который получить испуг прохожий помогать крыльцо шк постоянно кидаться"
" |text возле подъезд бегать стая бездомный собака пока еще щенок становиться агрессивный"
" |text срочно необходимый отлов бродячий собака агрессивный бросаться человек порядок шт мочь большой"
" |text двор дом декабрист декабрист юго западный около далее сад прижиться стая агрессивный собака нападать родитель детка идти далее сад просить принять срочный мера"
" |text улица орловский возле дом улица земляков возле дом проживать стая бродячий собака ребенок бояться идти школа домой собака лаять кидаться прохожий"
" |text просить произвести отлов бездомный собака который собираться свора двор дом ул заря насчитываться штука страшно ребенок выпускать двор вечером страшно взрослый ситуация усложняться каждый днем стая прибиваться новое особь"
" |text собака принадлежать производство улица родина родина привязь вести агрессивно нападать просить держать собака привязь помимо некоторый собака ошейник собираться бездомный стая очень часто нападать житель стать агрессивный"
" |text страшно выйти улица давать выйти улица бросаться страшно нужный отлов"
" |text огромный количество собака бегать территория улица ютазинский выборгский собака собираться стая очень агрессивный бегать мусорный контейнер новый дом страшно выходить улица особенно темный время сутки ночью невозможно спать постоянный лай вой"
" |text около органный зал бегать большой серо белый собака вокруг глаз черный круг пожалуйста оторвать подбегать человек страшно"
" |text перека ке ул березовый солнечный ходить стая больший агрессивный собака собака весь собака здоровый крупный решить пож сто проблема кидаться ребенок рыться мусорный бак разбрасывать мусор грязь бардак скоро весна собака еще агрессивный должный ходить"
" |text снт дружба возле главный вход бродить около собака бродить возле станция новатор вплоть мусорка возле дом дружба давать человек спокойно ходить снт дружба крукглогодичный проживать семья число пожилое мама новорожденный случай нападение"
" |text двор постоянно гулять взрослый бездомный пес собака начаться течка ситуация стать просто безвыходный ранний просто бегать двор стая агрессивно реагировать человек сегодня преследовать ребенок очень напугать"
" |text просить убрать улица бездомный собака дом выйти страшно сегодня облаять ребенок пришлый весь заплаканный испуганный столько жалоба сей пора мера принять обещание"
" |text ходить возможно возле уходить собираться стая собака"
" |text снова бездомный агрессивный собака добираться дом приходиться обход приличный расстояние"
" |text собака стать маленький агрессия большой настоятельно просить отловить собака пока случиться трагедия самоуправство"
" |text сегодня урок покусать сын одноклассник зима достать кожа сын ужасно испугаться принять пожалуйста мера"
" |text возле казаньшинторг здание градопластик бродить собака прыгать лаять человек бросаться машина"
" |text стая собака возле железный дорога"
" |text землянухин прилежащий двор бегать стая довольно крупный собака сын учиться ой школа путь школа стая окружить собака покусать портфель часто видеть стая бегать землянухин сторона пионерский парк дорога ребенок ходить"
" |text стать страшно самый ходить говорить ребенок около дом постоянно стая бездомный собака принять мера пока пострадать"
" |text год территория детский сад супруг напасть собака смочь самостоятельно отбиться куртка остаться след зуб слюна рыжий собака постоянно гулять территория это далее ребенок это мочь часто выходить улица мочь пострадать ребенок"
" |text возможно пройти остановка первомайский ул парин оренбургский тракт сторона ул депутатский выбегать злой собака пытаться укусить давать пройти последний время встреча происходить каждый просить принять мера"
" |text пересечение поперечно таловый агрызский улица ходить бродячий большой собака"
" |text стадо собака бегать наподавать весь человек ребенок прекратить это безумие"
" |text стая бездомный собака бегать стая собака двор улица строитель октябрьский"
" |text микрорайон бегать свора собака постоянно лаять рычать прохожий вести очень агрессивно страшно выпускать ребенок"
" |text результат последний выезд служба маленький собака стать загрузить вчерашний фото фото четыре собака щенок встретить детплощадка въезд жк мусорка вход дом просить снова выехать выезд связаться"
" |text двор продолжать бегать бездомный собака взрослый ребенок бояться ходить"
" |text бродить собака ребенок выходить страшно"
" |text собака площадь вести очень агрессивно необходимый срочно произвести отлов бездомный собака"
" |text улица обнорский обитать больший стая собака который очень агрессивно вести кидаться прохожий отлов животное ранее подать заявка производиться"
" |text дом ю фучик дубравный ежедневно происходить нападение бездомный собака человек ряд школа основный агрессия идти младший школьник сегодня девочка год сильный истерик собака повалить пытаться укусить взрослый успеть отогнать животный"
" |text двор бегать стая больший собака порядок ми штука точно обитать балкон справа подъезд прикармливать местный жительница бегать детский площадка ходить страшно вчера вечером штука собраться возле подъезд мочь выйти зайти домой"
" |text возле мусорка постоянно проживать стая бездомный собака пока молодая агрессивный это надолго"
" |text здравствовать территория школа бегать стая собака лаять прыгать школьник ребенок страх убегать обеспечить безопасность наш ребенок"
" |text большой свора возле детский сад свора течный сук поэтому кобель вести очень агрессивно необходимый срочный отлов помнить свора мобильный собака место сидеть"
" |text невозможно гулять маленький ребенок ходить стая собака собака наброситься женщина коляска отпугивать остальной мамочка фото сделать окно дом сделать собака нибыть"
" |text добрый день далее остановка ометьево холм возле пешеходный переход обитать бродить собака который нападать прохожий особенно ребенок против пристанище находиться гимназия ребенок жить плата аметьево ходить дорогой"
" |text просить организовать отлов собака февраль лукин возле свой подъезд мама укусить собака мама провести больница день февраль бояться выйти дом собака покусать человек обитать подъезд фото приложение"
" |text бродячий животное снова бегать позади дом вдоль й вольный просить принять мера ряд деть садик страшно водить ребенок"
" |text пожалуйста разобраться ситуация неделя назад собака покусать женщина ребенок мочь спокойно ходить школа"
" |text поселок озерный высокогорский район бегать очень бездомный собака ребенок нападать отделаться испуг куртка порвать порвать штаны синяк нога прохожий спасибо оттащить собака школа бояться ходить"
" |text балкон первое этаж жилой дом жить бездомный собака бросаться несколько идти тротуар фото видно житель дом намеренно создавать весь условие проживание бездомный собака кормить требовать отловить собака"
" |text дом недалеко женский консультация заметить собака ночью недалеко это место также бегать лаять огромный стая дикий собака фото видно собака страдать бешенство пытаться перегрызть друг друг горло ждать накинуться человек"
" |text двор дом бродячий собака кидаться человек"
" |text стая собака фото заметить соципотечный жк наверняка это стая терроризировать константиновка царицыно недавно передушить кура ул зирекло просить решить проблема опасный животный отловить усыпить"
" |text очень большой стая собака постоянно это место невозможно пройти собака выбегать дорога вести агрессивно"
" |text март год двор дом улица ак королева ребенок покусать рука нога черный бродячий собака двор гулять ребенок просьба решить проблема бродячий животное район дом медик"
" |text просить принять срочный мера дом поселиться большой стая собака вести агрессивно"
" |text двор дом садик дом бегать лаять бездомный собака бегать пара бездомный собака"
" |text бездомный собака занять детский площадка детский поликлиника бросаться прохожий собака виднеться признак заболевание бешенство глотать камень неправильный взгляд дергаться просить принять действие незамедлительно"
" |text двор садик собака напасть ребенок сильный повреждение порвать штаны собака маленький рост черный цвет"
" |text сель малое кабан бегать бездомный собака сегодня утром находиться около мусорный контейнер выезд поселок лаять бросаться прохожий фото видно собака загрызть собака ребенок дорога ходить школа помочь"
" |text двор дом ул октябрьский ряд мусорка бегать бездомный собака черный подбегать кусать"
" |text весь территория стройка бегать свора собака кидаться человек принять мера"
" |text парковка домой год улица даурский завестись собака пугать ребенок"
" |text стая собака постоянно собираться возле дом"
" |text заходить двор стая собака нападать домашний животное ребенок бояться ходить школа"
" |text стая собака шт давать пройти парка сторона дом лаять бросаться ребенок"
" |text территория производственный цех ул тополевый далее подкармливать бродячий собака численность расти возможно утром выйти подъезд кидаюся человек просить срочно принять мера год отстреливать бросить труп прямо двор"
" |text ряд дом приютиться бездомный собака взрослый щенок вид месячный вынудить временно подкармливать намерение содержимый дальнейший просить помочь сложиться ситуация"
" |text около мечеть авторемонт прикормить стая щенок вырасти бегать весь округа собака большой пугать ребенок мочь покусать принять мера фото двор улица красный химик около военкомат кызыл армейский"
" |text здравствовать год альметьевск мкрн урсало рынок строительный материал гулять стая бездомный бродячий собака очень страшно житель урсала выходить дом принять мера"
" |text несколько бездомный собака мочь создать опасность человек"
" |text сегодня ребенок возвращаться тренировка гимназия подойти черный собака понюхать это начало хватать нога укусить нога ребенок залезть нея забор сидеть пока пришлый получить шок испуг разорвать джинса синяк"
" |text большой стая бездомный собака район кирзавод собака гон очень агрессивный пока случиться несчастие просить принять срочный мера отлов бродячий собака"
" |text дождаться бездомный псиный бросаться человек выйти магазин брачный сезон начаться истребить животное"
" |text поселок левченко улица страшно выходить стая бездомный собака вчера сын искусать принять мера"
" |text пос круглый пол бегать бездомный собака случай укус ребенок собака местный администрация мера принимать хотеть ребенок прятаться бояться гулять принять мера пожайлуст"
" |text подъезд недалеко вход подвал часто бегать собака ночью недалеко это место бегать лаять огромный стая дикий собака фото запечатлеть собака"
" |text возле дом год нижнекамск пр мир тц якорь бегать бездомный собака постоянно весь бросаться наш двор укусить мальчик часто бегать детский площадка ребенок бояться гулять обращаться дом управление мера принять пожалуйста принять мера"
" |text очень долгий время решаться проблема агрессивный бездомный собака район чалл ярый жк берег ул портовый больший собака неоднократно подаваться заявка горкоммунхоз заявка март служба отлов ссылаться мочь поймать"
" |text территория дом улица заслоновый находиться сторожевой вагончик понятно охранять который постоянно лаить собака который мочь лаять просто любой время сутки особенно это заметно утро давать спокойно спать"
" |text добрый день вчера кадышевый ул татарстан мама укусить собака прийтись течение месяц делать прививка отлов бездомный собака осуществляться ребенок гулять"
" |text огромный стая собака писать комиссионно собака обнаружить каждый день видеть стая ведомство работать"
" |text территория жк красный яблоко лукин развестись бродячий собака создавать угроза ребенок мешать спать ночью разносить мусор территория просьба решить проблема"
" |text год альметьевск мкрн урсало ул беляев бродить стая бродячий собака каждый днем весь большой просить принять мера страшно ходить каждый день"
" |text азинский б б зур урам жк мчс забросить территория стая бездомный собака просьба произвести отлов"
" |text дом детскоца площадка ул советский обитать стая огромный собака весь ночь лаять ряд деть сад школьник идти школа страшно опасный ребенок дополнительный фото поздний выложить"
" |text возле подъезд дом проспект победа жить бездомный серый собака лаять человек невозможно вечером выйти погулять ребенок день вечером идти работа собака напасть просить принять мера пока покусать ребенок"
" |text вокруг дом амирхан бегать большой стая бродячий собака"
" |text просить отловить бездомный животное собака нападать"
" |text стая бездомный собака особый бегать бульвар боровецкий около дом забегать территория школа лаять утром очень ребенок идти школа бояться проходить мимо собака"
" |text вновь образоваться стая собака впечатление неотлавливать собака бродить поселок ночью жильцов подкрамливать сырой мясо время собака броситься прохожий знать вкус кровь улица становиться выходить весь опасный"
" |text стая численность штука щенок петься мусорка лвть прохожий"
" |text стая бродячий собака обоснововаличсить около территория кладбище ряд расположить мусорка просить принять мера"
" |text двор гафиатуллин далее ходить стая бродячий собака"
" |text сегодняшний день возле школа улица апастовский далее бродить бродячий собака корпус школа являться учебный заведение начальный класс избежание укус нападение дать животное ребенок просить произвести отлов"
" |text наброситься укусить крупный бездомный собака это единичный случай проходить это время женщина жаловаться укус собака"
" |text стая собака рыться мусор пугать местный житель"
" |text улица новатор около дом жить бездомный собака ходить около опасный обступать набрасываться пожалуйста избавить улица собака"
" |text заявка одичать собака решаться жить огромный стать посадка напротив дом б улица ново осиновский принять мера"
" |text возле недостроенный дом улица кирпичный обитать бездомный собака собака бросаться лай проезжий машина также пугать прохожий"
" |text стая бездомный собака укусить подруга ребенок везти больница"
" |text необходимый устранить шакал обеспечение безопасность пешеход также автомобиль"
" |text вокруг стадион казань арен постоянно бегать бездомный агрессивный собака особый далее перемещаться дом чистопольский близкий помойка вокруг казань арена заниматься бегом катаюиться велосипед ролик роллелыжа очень человек просить осуществить отлов"
" |text обращаться дать проблема пара месяц назад никакой реакция ничто сделать отписаться просто бегать собака бегать лаять прохожий ребенок весь бояться большой собака"
" |text стая собака перемещаться город страшно идти работа центр город это утро благо ряд здание налоговый инспекция зайти переждать поступить еще женщина получиться поступить день собака покусать мальчик около школа"
" |text бездомный собака строительный площадка домкор стройка расположить возле детский сад собака агрессивный пугать ребенок"
" |text жк салават купер улица виктор сажинов полно бродячий собака маленькая взрослый собака пожалуйста помочь отловить"
" |text собака гулять целый день наморник около дом ул шоссейный собака больной спать ом подьезда лестница около кв очень приятный запах грязный ходить туалет прямо подьезда кушать педоставлять опасность ребенок ого подъезд убирита пож"
" |text сегодня ребенок наброситься стая собака двор дом зорг ряд гимназия двор думать ходить ребенок ряд школа садик детский центр кружка бокс собака примерно просить отловить соботка округа"
" |text начать бегать бездомный собака напасть ребенок очень опасный страшно ходить вечером"
" |text бездомный собака сквер чишмяло рынок ломжинский"
" |text сегодня двор дом б улица халезов окружить свора крупный собака очень страшно прошлое год знакомый покусать очень хотеться оказаться ситуация"
" |text двор бегать еще большой собака преимущественно детский площадка страшно гулять кидаться ребенок"
" |text придомовый территория дом искра обитать агрессивный собака хозяин умереть дом забросить собака нападать человек проходить мимо улица"
" |text бездомный собака собираться стая который начать нападать облаивать особенно опасный вечерний время бегать вблизи детский площадка пугать ребенок"
" |text напротив дом ул фучик бегать агрессивный собака кидаться человек далекий считать стать нужно быстрый уносить оттуда нога пожалуйста принять мера ряд детский сад школа ребенок мама коляска вряд смочь имя противостоять"
" |text каждый ночь период утро сон жильцов прерываться громкий лай собака"
" |text обнаружить собака это ближний заявка ночью недалеко это место бегать лаять огромный стая дикий собака"
" |text обнаружить собака реальность большой ночью недалеко это место бегать лаять огромный стая дикий собака"
" |text ряд медицинский колледж сторона улица нариманов кидаться человек бездомный собака"
" |text территория наш поселок новое салмач бегать большой количество бездомный бродячий собака несколько случай проявление агрессия нападение житель март аналогичный заявка который решить закрыть просить принять соответствующий мера"
" |text добрый день обращаться ранее спасибо часть собака удаться поймать весь стать взрослый прежний кусать прохожий нападать ребенок школа гимназия также заходить двор собственник жилой индивидуальный дом гадить разносить мусор просить ва"
" |text рано утром бегать набережная казанка самый конец набережная около мост миллениум жить стая бездомный собака постоянно нападать велосипедист пожалуйста решить вопрос самый центр город турист гулять"
" |text ст юбилейный остановка автодорстрой орловский пол вестись строительство жилой дом бегать агрессивный собака кидаться человек проезжать транспорт просить решить проблема"
" |text просить отловить стая собака обитать район колхозный рынок вокзал"
" |text стая собака бегать округа покусать ребенок мужчина"
" |text двор бродить бездомный собака"
" |text просить отловить собака координата сотня метр детский площадка дом р гареев жить свора агрессивный бродячий собака свора считать площадка свой территория нападать гулять леса возле площадка человек мочь загрызть ребенок"
" |text бездомный собака бросаться человек весь сосед шок"
